source,target,tgt_lng
first pass yield,一次通过率,zh
line setup,生产线设置,zh
line trial,试线,zh
feeding plan,投料计划,zh
material feeding,投料,zh
bundle flow,扎流,zh
standard minute value,标准工时,zh
takt time,节拍时间,zh
subcontractor,外协厂,zh
outsourcing,外发,zh
wash factory,洗水厂,zh
embroidery factory,绣花厂,zh
print factory,印花厂,zh
finishing factory,后整厂,zh
customs document,报关文件,zh
cut off date,截关日期,zh
booking deadline,订舱截止日期,zh
consolidator,拼柜仓,zh
warehouse delivery,送仓,zh
release note,放货单,zh
inspection booking,验货预约,zh
inspection result,验货结果,zh
remediation plan,整改计划,zh
root cause analysis,根因分析,zh
