source,target,tgt_lng
iron high heat,高温熨烫,zh
iron with cloth,垫布熨烫,zh
do not iron trim,不可熨烫辅料,zh
do not iron embellishment,不可熨烫装饰,zh
do not iron directly,不可直接熨烫,zh
dry clean with any solvent,可用任意溶剂干洗,zh
dry clean with petroleum solvent,石油溶剂干洗,zh
reduced moisture,降低湿度处理,zh
short cycle,短程序,zh
low heat,低温,zh
no optical brighteners,不可使用荧光增白剂,zh
remove accessories before washing,洗前取下配件,zh
close zipper before washing,洗前拉好拉链,zh
fasten buttons before washing,洗前扣好纽扣,zh
turn garment inside out,反面洗涤,zh
color may transfer,可能沾色,zh
avoid contact with light colors,避免接触浅色衣物,zh
natural fading may occur,可能自然褪色,zh
exclusive of decoration,不含装饰部分,zh
exclusive of trims,不含辅料,zh
wash garment separately,单独洗涤,zh
professional leather clean only,仅可专业皮革清洁,zh
wash at 60 degrees,60 度水洗,zh
wash at 95 degrees,95 度水洗,zh
maximum wash temperature 30c,最高 30 度水洗,zh
maximum wash temperature 40c,最高 40 度水洗,zh
maximum wash temperature 60c,最高 60 度水洗,zh
machine wash gentle,轻柔机洗,zh
machine wash permanent press,免烫程序机洗,zh
hand wash only,仅可手洗,zh
do not use biological detergent,不可使用生物酶洗涤剂,zh
use laundry bag,使用洗衣袋,zh
avoid prolonged soaking,避免长时间浸泡,zh
do not rub isolated stains,不可揉搓局部污渍,zh
dry naturally,自然晾干,zh
dry on hanger,衣架悬挂晾干,zh
tumble dry normal,常规滚筒烘干,zh
tumble dry gentle,轻柔滚筒烘干,zh
iron at low temperature,低温熨烫,zh
iron at medium temperature,中温熨烫,zh
iron at high temperature,高温熨烫,zh
wash with similar colors,与相近颜色衣物一起洗涤,zh
gentle machine wash cold,冷水轻柔机洗,zh
wash inside out with like colors,反面与同色衣物一起洗涤,zh
remove faux fur before washing,洗前取下仿毛饰边,zh
fasten velcro before washing,洗前贴好魔术贴,zh
zip up before washing,洗前拉好拉链,zh
do not bleach soak or wring,不可漂白浸泡或拧干,zh
do not tumble dry line dry in shade,不可滚筒烘干 阴凉悬挂晾干,zh
tumble dry low remove promptly,低温滚筒烘干后及时取出,zh
lay flat to dry,平铺晾干,zh
dry flat away from heat,远离热源平摊晾干,zh
iron on low reverse,反面低温熨烫,zh
cool iron on reverse,反面低温熨烫,zh
do not iron print or trim,不可熨烫印花或辅料,zh
dry clean recommended,建议干洗,zh
do not dry clean leather trims,不可干洗皮革辅料,zh
wipe clean only,仅可擦拭清洁,zh
spot clean with damp cloth,用湿布局部清洁,zh
sponge clean only,仅可海绵擦洗,zh
air dry only,仅可自然晾干,zh
keep away from direct heat,远离直接热源,zh
wash before first wear,首次穿着前洗涤,zh
color may fade,颜色可能褪色,zh
color may rub off,颜色可能摩擦掉色,zh
dark colors may bleed,深色可能串色,zh
do not iron pu coating,不可熨烫 PU 涂层,zh
do not dry clean bonded fabric,复合面料不可干洗,zh
remove padding before washing,洗前取出填充垫,zh
wash in laundry bag,放入洗衣袋洗涤,zh
do not twist dry,不可扭绞甩干,zh
reshape and dry flat,整形后平摊晾干,zh
iron on low setting,低档熨烫,zh
steam only,仅可蒸汽处理,zh
professional dry clean only,仅可专业干洗,zh
dry clean p,P 类干洗,zh
dry clean f,F 类干洗,zh
remove detachable parts before washing,洗前取下可拆卸部件,zh
remove belt before washing,洗前取下腰带,zh
remove faux fur trim before washing,洗前取下仿毛饰边,zh
wash with zipper closed,拉好拉链后洗涤,zh
close hook and loop before washing,洗前合上魔术贴,zh
fasten hook and loop before washing,洗前合上魔术贴,zh
wash dark garment separately,深色衣物单独洗涤,zh
due to the nature of this dye,由于染料特性,zh
color may fade after washing,洗后可能褪色,zh
avoid contact with sharp objects,避免接触尖锐物,zh
do not bleach or tumble dry,不可漂白或滚筒烘干,zh
