source,target,tgt_lng
applique edge,贴布边,zh
patch placement,章仔位置,zh
badge placement,章仔位置,zh
printed patch,印章,zh
reflective patch,反光章,zh
3D badge,3D 章,zh
heat transfer badge,热转印章,zh
screen charge,网版费,zh
artwork revision,图稿修订,zh
artwork scale,图稿比例,zh
artwork orientation,图稿方向,zh
label mockup,唛标效果图,zh
QR code artwork,二维码图稿,zh
variable data label,可变数据标签,zh
puff print,发泡印花,zh
glow in the dark print,夜光印花,zh
screen mesh,网版目数,zh
print placement approval,印花位置确认,zh
3d puff embroidery,立体泡绣,zh
laser applique,激光贴布绣,zh
heat seal badge,热压章,zh
book fold label,书本折唛,zh
care label stack,洗水唛组合,zh
compliance label,合规唛,zh
tracking label,追踪标签,zh
serial number label,序列号标签,zh
hangtag string,吊牌绳,zh
hangtag seal,吊牌封签,zh
