source,target,tgt_lng
pocket skewed,口袋歪斜,zh
placket twisted,门襟扭斜,zh
placket gaping,门襟张口,zh
hem wavy,下摆波浪,zh
side seam twisted,侧缝扭斜,zh
leg length uneven,裤长不一致,zh
sleeve length uneven,袖长不一致,zh
label upside down,唛标倒置,zh
care label missing,缺洗唛,zh
wrong hangtag,错吊牌,zh
barcode unreadable,条码不可读,zh
mildew,霉斑,zh
odor,异味,zh
chemical odor,化学异味,zh
loose rivet,铆钉松动,zh
exposed metal,金属外露,zh
print off position,印花位置偏差,zh
embroidery off position,绣花位置偏差,zh
shade lot mismatch,缸差不匹配,zh
thin yarn,细纱,zh
slub defect,竹节疵,zh
hole at seam,缝位破洞,zh
needle hole damage,针孔损伤,zh
run off stitch,车线跑偏,zh
roving stitch,线迹游走,zh
pleat not aligned,褶位不对齐,zh
stripe mismatch,条纹不对齐,zh
check mismatch,格纹不对齐,zh
off grain,丝缕歪斜,zh
twisted garment,成衣扭曲,zh
neckline wavy,领口波浪,zh
collar uneven,领子不平,zh
pocket uneven,口袋不平,zh
button loose,纽扣松动,zh
snap loose,按扣松动,zh
zipper broken,拉链损坏,zh
zipper wavy,拉链起波浪,zh
teeth missing,链牙缺失,zh
puller missing,拉头缺失,zh
stitch density incorrect,针距密度不正确,zh
wrong thread color,线色错误,zh
label missing,缺唛,zh
hangtag missing,缺吊牌,zh
incorrect barcode,条码错误,zh
poor folding,折叠不良,zh
carton damaged,外箱破损,zh
polybag damaged,胶袋破损,zh
moisture damage,受潮损坏,zh
mold,霉点,zh
unacceptable odor,异味不可接受,zh
sharp edge,锐边,zh
metal contamination,金属污染,zh
broken needle found,发现断针,zh
irregular measurement,尺寸不规则,zh
loose stitch,线迹松,zh
tight stitch,线迹紧,zh
uneven stitching,线迹不均,zh
wavy stitching,线迹起浪,zh
runoff stitch,线迹跑偏,zh
snag,勾丝,zh
laddering,抽丝,zh
pin hole,针孔,zh
cut mark,刀痕,zh
scissor mark,剪刀痕,zh
oil spot,油点,zh
water mark,水印,zh
color streak,色条,zh
dye lot variation,缸差,zh
uneven sleeve length,袖长不一致,zh
uneven pocket placement,袋位不一致,zh
off center placket,门襟偏中,zh
misaligned stripe,条纹不对齐,zh
mismatched plaid,格纹不对称,zh
poor matching,对条对格不良,zh
loose button,纽扣松,zh
missing snap,缺按扣,zh
missing label,缺唛,zh
broken zipper,拉链坏,zh
zipper jammed,拉链卡滞,zh
zipper wave,拉链起波浪,zh
snap not holding,按扣不牢,zh
buttonhole fraying,扣眼毛边,zh
buttonhole too small,扣眼过小,zh
buttonhole too large,扣眼过大,zh
elastic too tight,松紧过紧,zh
elastic twisted,松紧扭曲,zh
drawcord missing,缺抽绳,zh
measurement below tolerance,尺寸低于公差,zh
measurement above tolerance,尺寸高于公差,zh
out of spec,不符合规格,zh
needle contamination,断针污染,zh
thread end,线头,zh
thread tails,线尾,zh
seam twisting,缝线扭曲,zh
oil line,油线,zh
pressure mark,压痕,zh
iron shine,烫亮,zh
scorch mark,烫焦痕,zh
burn mark,烧痕,zh
seam shadow,缝影,zh
open overlock,包缝散开,zh
loose overlock,包缝松,zh
broken overlock,包缝断线,zh
skipped overlock,包缝跳针,zh
uneven topstitch,明线不均,zh
double stitching uneven,双线不均,zh
poor bartack,打枣不良,zh
bartack missing,漏打枣,zh
bartack misplaced,打枣位置错误,zh
seam allowance uneven,缝份不均,zh
seam allowance exposed,缝份外露,zh
raw edge exposed,毛边外露,zh
lining showing,里布外露,zh
shell showing,面布外露,zh
puckered zipper,拉链起皱,zh
wavy zipper,拉链起浪,zh
zipper teeth missing,拉链缺齿,zh
zipper tape damaged,拉链带损坏,zh
snap damaged,按扣损坏,zh
rivet loose,撞钉松,zh
eyelet loose,鸡眼松,zh
cord lock broken,绳扣损坏,zh
drawcord uneven,抽绳长短不一,zh
drawcord too long,抽绳过长,zh
drawcord too short,抽绳过短,zh
elastic loose,松紧过松,zh
waistband twisted,腰头扭曲,zh
waistband rolling,腰头翻卷,zh
collar twisting,领子扭曲,zh
lapel rolling,驳头翻卷,zh
sleeve twisting,袖子扭曲,zh
armhole puckering,袖窿起皱,zh
crotch seam broken,裆缝断裂,zh
pocket opening gaping,袋口张开,zh
pocket bag visible,袋布外露,zh
print defect,印花疵点,zh
embroidery defect,绣花疵点,zh
label off position,唛标位置偏差,zh
stain mark,污迹,zh
adhesive mark,胶印,zh
glue stain,胶渍,zh
chalk mark,粉印,zh
size mix,混码,zh
color mix,混色,zh
assortment error,配比错误,zh
packing error,包装错误,zh
broken stitch,断线,zh
skipped stitch,跳针,zh
needle hole,针洞,zh
puckering at seam,缝口起皱,zh
seam slippage,缝口滑移,zh
seam cracking,爆缝,zh
seam grin,缝口露底,zh
open seam,开缝,zh
missed seam,漏缝,zh
frayed edge,散边,zh
wavy hem,下摆起波浪,zh
collar point uneven,领尖不齐,zh
sleeve twist,袖子扭曲,zh
leg twist,裤腿扭曲,zh
skewed side seam,侧缝歪斜,zh
twisted side seam,侧缝扭曲,zh
press mark,烫痕,zh
shine mark,极光印,zh
water stain,水渍,zh
rust stain,锈渍,zh
color shading,色差,zh
panel shade variation,裁片色差,zh
barré,横档,zh
fabric hole,布洞,zh
yarn contamination,纱杂,zh
severe pilling,严重起球,zh
print cracking,印花开裂,zh
print misregistration,印花套位不准,zh
embroidery thread loose,绣线松脱,zh
sharp point exposed,尖锐物外露,zh
