source,target,tgt_lng
shift dress,直筒裙,zh
sheath dress,修身连衣裙,zh
sweater dress,针织连衣裙,zh
crewneck sweatshirt,圆领卫衣,zh
zip hoodie,拉链连帽卫衣,zh
pullover hoodie,套头连帽卫衣,zh
playsuit,连体短裤,zh
standard fit,标准版型,zh
modern fit,现代版型,zh
easy straight fit,舒适直筒版型,zh
boyfriend fit,男友版型,zh
girlfriend fit,女友版型,zh
slouchy fit,慵懒宽松版型,zh
drop shoulder fit,落肩版型,zh
cropped silhouette,短款廓形,zh
longline silhouette,长款廓形,zh
empire silhouette,高腰廓形,zh
barrel silhouette,桶形廓形,zh
balloon silhouette,气球廓形,zh
tunic length,束腰外衣长度,zh
hip length,臀部长度,zh
thigh length,大腿长度,zh
knee length,及膝长度,zh
calf length,小腿长度,zh
floor length,及地长度,zh
capri length,七分长度,zh
bermuda length,百慕大长度,zh
short length,短款长度,zh
boxer shorts,平角短裤,zh
bike shorts,骑行短裤,zh
cargo shorts,工装短裤,zh
board shorts,冲浪短裤,zh
swim trunks,泳裤,zh
rash guard,防晒泳衣,zh
sports bra,运动内衣,zh
bralette,无钢圈文胸,zh
flare leggings,微喇打底裤,zh
yoga pants,瑜伽裤,zh
sweatpants,卫裤,zh
tailored shorts,西装短裤,zh
utility vest,多袋马甲,zh
shirt jacket,衬衫夹克,zh
coach jacket,教练夹克,zh
varsity jacket,棒球夹克,zh
denim jacket,牛仔夹克,zh
faux leather jacket,人造皮夹克,zh
faux fur coat,人造毛皮大衣,zh
overcoat,大衣,zh
topcoat,薄大衣,zh
button down shirt,扣领衬衫,zh
camp shirt,古巴领衬衫,zh
bowling shirt,保龄球衫,zh
peasant blouse,田园风上衣,zh
tunic top,长款上衣,zh
wrap top,裹身上衣,zh
smock dress,罩衫裙,zh
tiered dress,蛋糕连衣裙,zh
